tweet,label
6d/. They won't be able to make it after January! There will be millions HOMELESS and STARVING! You will see a LOT MORE BEGGING on the STREETS. People living in the woods. THIS is so the rich   #Conservatives #Christians #WhiteSupremacists #MAGA #MAGAVeterans #MAGATalk URL,harmless
@USER Be careful.. you know the terrorist arm of the @USER antifa is going to show up an try something..,harmless
@USER Hell ya she is,harmless
@USER @USER I fully support Antifa. I give them money. White nationalism is cancer in a proudly multicultural society. It should be illegal. It is in Germany. We had two wars over this issue. White nationalists lost both. We are done with this discussion.,harmful
@USER @USER There r 65 million that can sign to the affect that they didn't vote for an asshole.,harmful
@USER @USER Milk is meant for calves not humans. Give your head a wobble,harmless
@USER @USER After seeing the contents of the post @USER I for one are pleased with the legislation we have in regard of gun control. On the other hand legislation does need to be improved to support mental aid to this individual. He has to be sectioned.,harmful
@USER Bigly....lol.....bigly? He didnt won...he was elected by the people of the united states ahole...what he'll are you referring to? Antifa fools that get their asses kicked...vagina hats..lol pathetic ass,harmful
@USER She is.  Ur screwed.  Trump owns scotus and he will exact a wrath upon enemies after the midterms,harmful
@USER here your sign.   @USER  #Liberals  @USER  @USER  @USER  @USER  @USER  @USER  @USER  #BREAKING  @USER  @USER  @USER  #MAGA  #PatriotsUnited  @USER  @USER  @USER  #AmericaFirst  @USER URL,harmless
@USER The upside of manga is it can be real cheap. Downside is you might get swallowed up by a 400 part series,harmless
"1/ Here's @USER as quoted by @USER factually incorrect on no less than 6 counts: Trump is raising taxes not just on Democrats, he’s raising taxes on  Democrats &amp; Republican &amp; independents &amp; conservatives &amp; short people &amp; tall people.""""",harmless
@USER @USER Question: Hows that gun control laws up the ass they have working out for them?,harmful
UPDATE Chuck Schumer’s Steamy Affair With A High School Cheerleader Conf... URL via @USER Well someone said it so it must be true! ChickSchumer should Resign #Kavenaugh #ThursdayThoughts #FridayFeeling #DemDirtyTrick #MAGA #Resist FBI should Investigate,harmful
@USER Liberal Dictionary: -Illegal Immigrants: Dreamers -Trump Supporters: Deplorable -MS-13 Killers: Human Beings -Human Beings in the Womb: Not Human Beings -Antifa: Protestors -Law Abiding NRA Members: Terrorists -Bill Clinton: Feminist -Brett Kavanaugh: Predator,harmful
@USER Rezz is a dumb bitch who will get a rude awakening from BNF in Mexico lol URL,harmful
@USER @USER @USER @USER They are Conservatives to be put on the Supreme Court that don’t have all of these blemishes on their record these questions of their character there are better candidates. They need to find one. This one is the POTUS pic because he thinks the POTUS should be above the law,harmless
"@USER @USER @USER Still shoveling shit"" for Trump?....What kind of woman supports a liar, racist,  pussy grabber?....that's what kind of woman you are.""",harmful
@USER @USER @USER they are bullshit stats. but say isn't london the murder capital of europe now? that gun control working right? germany having some SERIOUS crime problems. maybe u should take care of business at home be4 u start tweeting about the US,harmful
@USER @USER @USER Unless he is resigning!,harmless
I wonder if these are the false flags we were expecting......  URL  URL  #GreatAwakening #QAnon #followthewhiterabbit #MAGA  @USER  @USER URL,harmless
@USER Silly unhinged liberals.,harmful
@USER You are very welcome Gordon and Shirley 🥀🐍🌹🐍🥀🐍🌹xxx,harmless
@USER Omg Jin’s laugh makes me wanna laugh my whole life. He is so adorable,harmless
@USER @USER 93% NEGATIVE COVERAGE SAYS YOU ARE DELUSIONAL,harmless
@USER @USER Dear Fatties Against Fascism... #WalkAway from the Democrats.... Antifa = Democrats = Dixiecrats = KKK  There are no fascists in America.  Same hate. Different colored hoods. Party of hate since 1828 URL,harmful
@USER @USER @USER @USER @USER @USER You're absolutely insane if you think a hearing for a supreme court judge is a appropriate place for a mourning father to talk about gun control. He doesn't enact laws....he upholds them. He should have demanded his state senator shake his hand,harmless
"@USER Open a Case"" 4-this:  John Kerry: ""Obama &amp; I *KNOWINGLY  *FUNDED *TERROR""  55 BILLION $$$ With a ""B"" !!  God bless Trump #MAGA #KAG #DeepState .. (FULL LINK: URL .. URL",harmful
"@USER Don't forget the deletion of all of her social media (no doubt Anti-Trump pro Antifa). Why is no-one asking why she cannot fix a year or day? Are they genuinely THAT gullible? She had one"" beer and ""somehow"" ended up in a bedroom? Implausible.""",harmful
@USER why why why have u let Feinstein stop the vote for judge Kavanaugh with a coney letter she had since July and have u seen the letter. She is not someone to talk after her 20yr spy no one has investigated,harmless
@USER I wonder if they are sex traffic victims?,harmful
@USER @USER Just Chicago so they can stop the gun violence. Seems that is what democrats claim will stop it. Show us in one of the worst gun violence cities controlled by democrats so the nations will see how that works. Make it a model of successful gun control policies.,harmful
@USER @USER @USER Return of the milk ‘snatcher’ just when you thought Tories could sink no lower.,harmless
@USER @USER This pope is a dope!,harmful
@USER @USER @USER @USER @USER That's my biggest question. Do we just widdle away until there is no 2nd amendment left? I do believe in some limited gun control but im worried we will be expected to just keep giving into the gun haters.,harmful
@USER @USER @USER He is,harmless
@USER She is one UGLY and DUMB woman!,harmful
@USER There she is nibbling in her lower lip and looking upwards at him.     “Don’t leave me Stevie.”         Honestly she didn’t know what to do without him.,harmless
@USER RETHINK...STOP CENSORING CONSERVATIVES...,harmless
@USER And let's not forget that the democrats were the ones who wanted to keep slavery alive,harmless
@USER @USER Yeah they showed up in America and themselves Antifa.,harmless
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER And Trump fans are bullies!!! Antifa ?? Steve Scalise ??  Resists Movement ??  You need to get off CNN and MSNBC,harmful
Krav Maga Defcon Wuppertal @ Body Masters URL,harmless
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER It never gets further that the Caymans But I want to know what gives Boris the right to spunk £45m on a folly of a bridge that wasn’t built Where is the money And what relation to him were the people who were paid it And why are they all now abroad No lnvestigation iniated Why,harmful
@USER Bill and Brooke deserve each other. They are like hot and cold. They’re in love with this person this week and in love it that on the next. Brooke I can understand. She is the SFTV but Bill?! They’ve ruined him.,harmful
@USER @USER She is indeed very cute,harmless
@USER He is so wonderful! I love my grandkids!,harmless
@USER @USER He is not a Dalit or a Muslim no need to remember,harmful
@USER what the actual fuck..ill report them this is so fucked up,harmful
@USER @USER @USER @USER Well you are FABULOUS,harmless
@USER Bono is utterly stupid ridiculous wealthy tax avoiding hypocrite fascist  I can’t listen to U2 again,harmful
@USER @USER I have a friend that’s abt an hour from Myrtle beach and she is scared to death 🙏🏻🙏🏻🙏🏻,harmless
@USER @USER OH FUCK-,harmful
@USER I bet she thinks you liberals abused here when you told her it was just an op ed not a photo shoot.,harmless
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER You are not very smart are you? Why do you think Gen Flynn’s sentencing keeps being rescheduled? URL,harmful
@USER I miss you bitch!!,harmful
@USER I like how her boobs have the same mass as her belly XD,harmful
No my family aren't MAGA they just don't care. They're apart of the populace who get distracted by pop culture completely. They have zero idea what is going on in the world until I tell them &amp; even then they don't care. I'm a lion amongst lambs. URL,harmful
@USER HAVE YOU NOTICED HOW RACIST THE MEDIA IS THEY ONLY SHOW THE BLACK PLAYERS KNEELING AND NO ONE EVERY COMPLAINS ABOUT THAT ?,harmless
@USER Behar..Aren’t you Jewish?  Do you really “NOT KNOW”...that you are supporting and siding with Nazis?  The Dems have been running Hitler’s Playbook for years!  WHY DO NEW YORK JEWS SIDE WITH NAZIS ? You Speak Against Israel.. WHY?  Are you Pandering in case they do take over? WHY?,harmless
@USER He is a vet!! He should know better!!!,harmless
@USER been supporting ur game for years as u know its about time u giys was free and able to communicate like you are doing &lt;3 hopefully only up from here brother,harmless
@USER And why report this garbage.  We don't give a crap.,harmful
@USER She is a repulsive human in every possible level.,harmful
@USER 😐 sorry but she is an idio,harmful
@USER Was there any specific comment that brought up this point recently? And yes you are speakin da troof,harmless
"@USER @USER @USER Bret, maybe you're just running away because you pretended to be an expert and got pounded into submission by a girl.  All you did was assume and demand proof, I provided. You provided 'your say so. In terms of debating, you lost. Have a nice day.""",harmful
@USER @USER Who ever supported this guy? You know they can never be trusted.,harmless
@USER @USER @USER They had conservatives silently tied up in the cellar for dexades. They're livid we got out and now have a voice In the White House ascend they want to put us back. They're trying to silence us any way possible. We need to burn them all in the midterms. Once and for all,harmful
@USER @USER Liberals defend Islam yet know little to nothing about the ideology. As a middle eastern Christian I pay close attention to what the Muslim people are up to.,harmless
@USER @USER why do you identify as antifa if you're transphobic?,harmful
@USER Consider this source ... @USER is a supreme ass kissing douche bag.,harmful
#realDonaldTrump You've been rather quiet today. I hope that you have spent some time thinking about your endgame with Vlad. I know you probably know this but you are very expendable to him. When we take the country back what will you do?He will not be happy with you! Ponder this,harmless
@USER @USER @USER I’ll accept your framing if you accept that it’s perfectly legit for me to say Vox contributes meaningfully to Antifa violence and the internment of Uighur Muslims in China. Call it a deal,harmless
"@USER @USER @USER It wouldn't surprise me a bit. Just like they falsely call conservatives, Fascists"" and justify physically attacking them. ""Trump's a Nazi, kill him!"". It's just a matter of time before they suggest it.""",harmful
@USER This is an outstanding thread and expert insight- ESP about the Reagan years which I studied in college. He is spot on and there was such a titanic shift begins in the 90s with rhe Contract with America bs to the immigration issues in CA (prop 187),harmless
"@USER @USER @USER @USER @USER Oh yeah sure Antifa is anti-fascist"". Also, free speech is for everyone: liberals, conservatives, centrists, fascists, communists, anarchists, ancaps, etc. I live in the US and not a fascist state that bans what it thinks is ""hate speech"". URL",harmful
@USER @USER @USER @USER @USER @USER @USER They did have a trial just a separation. Over 500 kids without their parents and lowlifes like you are thrilled about it.,harmless
@USER 8th Demension.,harmless
@USER Can @USER join your ranks? #Rimmy4Antifa?,harmless
@USER You would do well in Austin. Very blue... you are as likely to find Wiccan folks as super conservatives.,harmless
@USER yea your the bitch on the right getting smacked URL,harmful
@USER @USER @USER You’ve got too many NewYork Liberals moving into the state. I see it in my town.,harmless
@USER Good luck with that!,harmless
@USER As he said in exchange for a 14 day jail sentence and that's the max both sides could get.,harmless
@USER @USER @USER Wow!  I like this lady more &amp; more!!!  She is such a fighter &amp; a blessing!!!,harmless
#UofGH Justice Studies Assistant Program Head Dr. Glenn Hanna recently took part in a series of interviews with CBC radio regarding gun control and what a potential ban on handguns and assault rifles could mean for Canada. Listen to the interview here: URL URL,harmless
@USER I blame @USER for inciting violence and she should be held accountable! She is a despicable disgrace.,harmful
@USER @USER @USER Even Chris Evert said that people normally wise up and stop after the first warning or their second warning. Serena kept going. It sucks it ended the way it did but if you keep arguing and making comments after a second warning then what was she expecting?,harmful
@USER Total psyop at this point to anger liberals and keep them divided so they dont leave their sorry ass party.,harmful
@USER She is absolutely gorgeous!,harmless
Confirm Kavanaugh Now!  #MAGA URL,harmless
@USER I thought it was because you weren't very funny and lacked in talent as a comedian.,harmful
"@USER @USER Project much, do you? Every campaign flier I get in the mail from Dem candidates is about healthcare, education funding, and the wealth gap; every flier from their GOP opponents is so-and-so will stand with Nancy Pelosi and the liberals"" identity politics horseshit.""",harmless
@USER @USER @USER @USER And you’re just another Twitter asshole. #Muted,harmful
@USER @USER @USER Is she a memeber of antifa? URL #KAG2018,harmless
@USER this girl called herself tryna call me ugly. i had to show her how ugly she is.,harmful
"@USER The Hollywood elites make fun of Republicans, Conservatives, Christians, Jesus, &amp; Ex-crackheads. That's very funny, considering they consist of Democrats, Liberals, Atheists, Satanists, and CURRENT"" Crackheads. And don't forget, the adulterers, pedophiles, and abusers of woman.""",harmful
@USER The far left antifa are the real fash .cowards that hide behind masks and attack anyone who has a diff opinion they even confront not only the old and the vulnerable but children as well,harmless
@USER She is AWESOME. Thanks,harmless
@USER I can't wait for Kavanaugh to throw gun control in the garbage can where it belongs.,harmful
"@USER YUP.  Liberals (by which I mean fans of Liberal Democracy"") are all too happy to let everyone else around them die as long as they maintain a comfortable existence. It's a fucking disgrace.  We need to get the ball rolling on serious Socialist organizing if we are to survive.""",harmless
@USER @USER @USER I have never understood why there are not more officers visibly supporting tighter gun control. It makes their job so much more dangerous with all these random people w/ their guns.,harmless
@USER Stale,harmless
"@USER @USER @USER @USER @USER @USER @USER @USER @USER Don't know what you mean by independent media"" but I read MSM and they tell me that antifa are, in fact, the violent leftists who are causing all the problems at protests. What I see is right-wing media painting all Liberal protestors as the same as antifa.""",harmless
@USER @USER Security are paid to protect you from trash and crazy people,harmful
@USER I also understand a lot of the followers are #MAGA and #Cult45 aligned politically.,harmless
@USER hi i love youuuuuu. i hope you are doing okay right now ariana. i lovee youuuu,harmless
@USER Beautiful and sexy.. 😍😘,harmful
.@USER @USER @USER @USER @USER @USER @USER @USER   And Liberals think GUNS are the problem? URL,harmful
@USER @USER Here come the beta liberals lmao *convo muted you can cry all day to yourselves.,harmful
@USER I hope they beat his ass in private.,harmful
@USER AARON RODGERS WILL NEVER WIN A RING THE REST OF HIS SAD ASS CAREER! I HOPE YOU HIS REGULAR SEASON HEROICS CAUSE THATS ALL HE IS GOOD FOR! HAVE A NICE DAY!,harmful
@USER @USER She is a piece of shit and I am not sorry for my bluntness. From now on I am going to say what I think whether bluntly or rudely!,harmful
@USER The persona that you project masks your insecurities. You are hurt and disappointed. Politics is a dirty business. Move on and make a difference.  Hillary lost because too many people sat out the last election. Get involved in displacing Devin Nunes and or Duncan Hunter in Calif.,harmful
@USER what about this woman  .funny I dont see liberals fighting for her... URL,harmless
@USER Hi sexy,harmful
.@USER  @USER  MY CFB 10 #TBT at 9pm  and you are scheduled  with me tonight!  Check in! URL,harmless
@USER @USER Liberals are in full meltdown today...fun to watch...,harmless
@USER Been a Willie fan since before most of you were born....LOVE that he is holding a rally with Beto.... Exactly WHICH fans are furious?  Could you give some specifics? URL,harmless
@USER Are facts a “dangerous line?” A hate Trump liberal activist makes a 37 year old claim that is completely out of character for Judge Kavanaugh and we shouldn’t question it? This is a total scam and I’m fed up with liberals turning our SC Confirmations into the Jerry Springer show.,harmful
Looks like a big group!   Way to lean into to #TeamTrump @USER #MAGA URL,harmless
@USER @USER @USER You do scare all Americans with ur fake democratic platform. It’s mainly ur corrupt GOP ethics that are the problem. GOP is ok with supporting pedofiles treason &amp; voter suppression. Dems actually want improved health care for all sensible gun control &amp; to help the little guy,harmful
The Whole World can see what President Trump has accomplished and Americans by-and-large are extraordinarily proud of the Trump  Administration.  It makes no difference what the Left and its Mainstream New Media dedicated conartists try and pull on us.  We are AWAKE #MAGA URL,harmless
@USER Complaining about SP's comments and blames the media for him(Spath) feeling a certain way and not actually reading an article. Basically saying Shea doesn't know shit and basically he should shut his mouth.,harmful
@USER She is a gorgeous little mini you. ❤️🌸,harmless
@USER Bitch I know. My body is ready 😂,harmful
@USER But gun control,harmless
...it will be hard to believe any female accusers...ever again...especially liberals who lie for personal and political gain... URL,harmful
@USER It isn't so much that liberals are ignorant. It's just that they know so many things that aren't so.”  ― Ronald Reagan URL,harmful
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER True they raided a Antifa bomb factory in Germany!,harmless
@USER @USER @USER It was a disagreement between a fucking umpire and a player! It was not abusive!,harmful
@USER @USER This what’s the matter with #Hollywood and #liberals 🤮,harmless
@USER The Framers of the Constitution were primarily White Anglo-Saxon men so what might that tell us about modern day Anti-federalists and the Antifa movement and the extremes they might go to?  URL URL,harmless
@USER He is like really smart.,harmless
@USER How taser works?,harmless
@USER no he came back to nyc w ducky,harmless
"@USER @USER Conservatives"" try to preserve institutions that young people are constantly trying to destroy because the aging left brainwash them into taking action. Young people have no conception of a sense of maintaining effective systems. Most are connected to destructive impuse.""",harmless
@USER @USER @USER @USER I think maybe we should give another party a try. Maybe 'For Britian'....,harmless
"@USER You're either a bot or... for some reason you're associated Gavin McInnes with the alt-right""?   Time to find some better news sources, bro? The ""alt-right"" hasn't been relevant since CVille. Your journalists covering #antifa or just focusing on a few harmless conservatives?""",harmful
@USER ❤ You are beloved! ❤,harmless
@USER Police your own first right?   You see it as unfortunate he is saying these things in public but others see it even more unfortunate that she says the things she says in public. She is an extremely public figure and he is using a similar platform.,harmful
@USER Fuck yeah!,harmful
@USER Amazing how much money is being thrown at this guy by liberals freaking out. Beto epitomizes everything that is wrong in America. Vote CRUZ!,harmful
@USER Would that make him the equivalent of the Antifa March that started the violence there in the first place?,harmful
@USER Crazy liberals,harmful
@USER Sam’s act is working. I swear she is acting!,harmless
@USER Poor Baby.  This is why you and your entire network CAN NOT be trusted.    The only people still watching CNN are brainwashed liberals and demonrats. URL,harmful
@USER Liberals have the numbers and money. Conservatives would get smoked. Kansas alone gets beat inside of 2 hours.,harmful
@USER @USER They should dress him in an Ice Uniform no weapons and make him walk the boarder at night calling for the drug cartel.,harmful
@USER Get back on your peanut farm old man,harmful
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Ok. You win.,harmless
What a start to the week for our adults Krav Maga classes!! Keep up the awesome work guys. It is a pleasure see old faces coming back to training and many of you utilising the new timetable 👊🏻👊🏻  See you in class  The Elite Team,harmless
@USER Sounds like hot lesbian sex to me.,harmful
@USER Pray for Judge Kavanaugh and his family. #MAGA #Kavanaugh #KavanaughConfirmation #KavanaughConfirmationHearings,harmless
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER I'm sure it's just all Democratic political pay for play,harmful
Did Someone just say maga 2k19,harmless
@USER He is 😭😭😭 he is so precious 💖,harmless
#tcot #MAGA Complacency kills. Vote in November URL,harmful
@USER IM SAVING THIS GOOD SHITTTT,harmful
@USER @USER Me too! Jacks a sack! We conservatives tweet in a barrel!,harmful
now that's interesting!?!? 🧐  #JFKJr   @USER #kennedy #qanon #maga #magical URL,harmless
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER He looks familiar....serial female abuser maybe??,harmless
1 year old gray/white tabby cat (Orlando): 1year old female gray/white Tabby. Accidentally left outside and is gone. She is part of our family and we miss her dearly. Please if anyone has any information on her whereabouts feel free to contact us. URL URL,harmless
@USER ATTENTION ALL RED VOTERS!!! GET OUT AND VOTE.IF WE DON'T WE WILL LOSE EVERYTHING.,harmless
@USER Ready for this red tsunami 🌊,harmless
@USER Another crazy liberals,harmful
@USER Mann i ain’t that smoove booty like you gee 😭😆🤷🏽‍♂️,harmful
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER ...and #LeviStrauss wanting gun control How many of us wonder why the heck do they want our freedoms taken away ~ or is it just selective freedoms? URL,harmful
@USER Your fucking Bf nigga,harmful
@USER She is maaaad annoying!,harmful
"13/? BOOOM.   The MAC telling the @USER to pay the public sector properly. Have that There's no magic money tree"".   But this is a disaster. It means the #NHS is in crisis and competing with other sectors. URL",harmless
@USER bitch my life was flashing before my eyes,harmful
"@USER This C is back? Liberals are shortsighted aka stupid.  Crying Wolf"" is a ""favor"" to all of those past and future victims of rape and assault?  Like I said, stupid.""",harmful
@USER @USER @USER @USER @USER @USER @USER Laura Ingraham who followed the Russian-infiltrated NRA's order to attack Parkland victims (who decided to vociferously advocate gun control) and who at the time was vying for Kellyanne *gag* Conway's position,harmless
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Hmm? That’s not biblical. You may want to ask god if you are doing it right. I’m pretty sure you’re supposed to get in that church with all the “people” you don’t care to be around. It’s your persecution. 😂,harmless
@USER Do we get to choose which women go first?,harmless
@USER @USER She goes through with chequers the @USER are finished,harmless
@USER @USER @USER One day you are gonna be an expert mate 😻👍😹,harmless
@USER @USER Resign!!! You’re an idiot!!! 🤦‍♂️ URL,harmful
@USER @USER  has announced he is releasing #Fisa URL,harmless
@USER because he made guys dumb as SHIT,harmful
@USER Of course she is.,harmless
@USER Interesting-cause you leftists not only threaten us-but regulary shoot/stab us.  I wonder if maybe Mr. Swalwell isn't all-in on the violence toward conservatives.  He certainly always seems to ignore/suppor it(ANTIFA for instance).,harmful
@USER Holy shit- how brainwashed can ya be?,harmful
@USER Exactly why CA-District 23 should kick Ol’ Moneybags @USER McCarthy out!  Vote FOR @USER responsible gun control! Vote AGAINST NRA! Vote for the safety of Californians! #Matta4Congress  #SendMcCarthyPacking  #CAdeservesBetter,harmless
"@USER @USER I'm sure they are Pro Life"" Conservatives. Keep up the great work Chelsea; we need you.""",harmless
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Listen people Queen is right. This is not a game this is war 👆👆👆👆👆💥💥😡😡😡😡 URL,harmless
@USER Manafort has been on K street for a long time. He knows things. Deep dark things. I agree. He is gonna burn some folk. Mueller already knows who he wants. Manafort is gonna give them up.,harmful
@USER not at all! :),harmless
I got more common sense than all of my followers  :),harmful
@USER remember when antifa was respectable and intimidating??  me neither lmao,harmless
@USER Same with gun control. CHL hiders don’t commit gun crimes. Same laws with pit bulls?,harmless
@USER he probably had sex twice for boruto and the other sister that no one cares about,harmful
#MayMustGo and there needs to be a General Election May has no ability to face up to Brussels machine because she does not believe in what she is doing. @USER will pay a high price for betrayal of the UK — OBLIVION  #StandUp4Brexit elect a leader who UK can be believe URL,harmless
@USER This kind of meme just drives me further away from the Conservatives. My mother and father are rolling in their proverbial...you know. They would be disappointed in the lowness of it all.,harmless
"@USER furries can suck my dick, this is both an offer and an insult""""",harmful
"@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER That's like arguing that soldiers who fought Nazis in WWII were violently forcing their ideas onto others"" when they shot Nazis. No, they weren't trying to change their minds with bullets, they were trying to stop them from forcing fascism on the world. Same with antifa.""",harmless
@USER Judge Roy Moore will masterbate to this story.  #MAGA,harmful
@USER @USER MAGA PATRIOTS WE NEED YOU!,harmless
"@USER Eric and Hussein just need to STFU and go away. Too many Americans died as a result of their Fast and Furious"" gun running scheme gone bad. Eric even defied Congressional subpoenas with Hussein's backing. Despicable.""",harmful
@USER @USER @USER @USER @USER Like unemployed LibLeft Antifa SJW parent basement dwellers...,harmless
@USER I think the reality is that he is ‘truth phobic ‘,harmless
@USER I love the way this pisses off liberals. URL,harmful
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Followed all new - MAGA.  Please follow back.,harmless
@USER Could have been you if you didn’t stop taking Molly and shit! Glad you changed and are still around. Absolutely sucks max passed. Such an amazing artist! Rip Mac.,harmful
@USER That was a little too curious,harmless
@USER Disgusting,harmful
@USER 😅😅😅😅😅😅😅😅😅 gun control fun a statue of a stupid child under a desk are going to change peoples if that is the case they are stupid because i for will not give up my firearms or free speech or my rights to no one or no government! Fuck you!,harmful
@USER One could say that she is the one coward. She could probably end this charade but continues to sabotage our country with her silence. Plus she’s a sad over facelifted former soft porn model.,harmful
@USER I am happy to say I reported each video 20 times. I'm so glad they were taken down. You are an amazing YouTuber and to have your content stolen is such a large insult to you as a content creator its mind blowing. It was an honor to help such an amazing person!,harmless
@USER Canada doesn’t need another CUCK! We already have enough #LooneyLeft #Liberals f**king up our great country! #Qproofs #TrudeauMustGo,harmful
@USER I wasn't given the option to stay home and stack money but I always tell people if the opportunity is given take it 🤷🏾‍♀️   Shit hell out here,harmful
@USER I love you bitchhh I aint never gonna stop loving you.... bitchhhhhh,harmful
@USER He is starting to tweet nonsense like Mango Mussolini,harmful
@USER @USER @USER oh!!! she looks amazing thank u!! 💖,harmless
